Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Roasted Garlic Chicken + Seasonal Vegetables,$19.99,Main Plates,"Pan-roasted chicken breast in lemon-garlic sauce with hearth-roasted fingerling potatoes, cauliflower, Mediterranean herbs and seasonal vegetables."
CPKid's Curly Mac 'n' Cheese,$5.79,CPKids, 
CPKid's Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
CPKid's Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
CPKid's Fusilli with Tomato Sauce,$5.69,CPKids, 
CPKid's Fusilli Alfredo,$5.69,CPKids,With Parmesan-cream sauce.
CPKid's CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
CPKid's Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
CPKid's Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
CPKid's Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
CPKid's Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
CPKid's Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
CPKid's Traditional Cheese Pizza,$5.49,CPKids,Vegetarian. Tomato sauce and Mozzarella.
CPKid's Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
CPKid's Brownie,$1.99,CPKids, 
CPKid's M&M's Sundae,$2.69,CPKids, 
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
Soda (Can),$1.99,Beverages,12oz. can.
Dasani Water,$1.99,Beverages,½L. bottle.
Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages, 
Sparkling Cranberry Cooler,$3.29,Beverages, 
Sparkling Berry-Lemon,$2.99,Beverages,"Perfectly refreshing Perrier Lemon Sparkling Water with a light berry flavor, fresh lemon, blueberries & thyme (non-alcoholic & non-refillable)."
Perrier Lemon Sparkling Water,$2.50,Beverages, 
Fresh Lemonade,$2.99,Beverages, 
Passion Fruit Mango Iced Tea,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
Frozen Lemonade,$3.99,Beverages, 
Bottle Water - Acqua Panna (1/2 liter),$3.79,Beverages, 
Bottle Water - Acqua Panna (1 Liter),$4.79,Beverages, 
San Pellegrino Sparkling Mineral Water (500ml),$3.79,Beverages, 
San Pellegrino Sparkling Mineral Water (1 Liter),$4.79,Beverages, 
