Rating,Number Of Ratings,Address
4.6/5,138 ratings,"20502 N Rand Rd, Deer Park, IL 60010, USA"
Bolognese Spaghetti,$13.99,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley..
Jambalaya Fettuccine,$17.69,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$15.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$12.69,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$24.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$20.69,Main Plates,"CPK Favorite! Gluten-Free Ingredients. North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.79,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.79,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Crispy Fish Tacos,$15.99,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$26.99,Main Plates,"12oz. USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Curly Mac 'n' Cheese,$5.79,CPKids, 
Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,CPKids, 
CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
Traditional Cheese Pizza,$5.49,CPKids,Tomato sauce and Mozzarella.
Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural-flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
New! Cucumber Reviver,$3.29,Beverages, 
Sparkling Cranberry Cooler,$3.29,Beverages, 
CPK Lemonade,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
New! Passion Fruit Mango Iced Tea,$2.99,Beverages,Freshly brewed unsweetened iced tea with a blend of authentic tropical flavors.
Frozen Lemonade,$3.99,Beverages, 
Soda Can,$1.99,Beverages,12oz. can.
Dasani Bottled Water,$1.99,Beverages,½L. bottle.
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
