Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""not good""",1.0," Feb 27, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,the free food is a plus,the management and overall work is horrible,
"""Treats employees bad""",1.0," Feb 28, 2017",Past,Crew Member,"Seattle, WA",No,No,Neutral,Full-time,Less than a year,Free food not worth it,Work you like you are a slave to the company,Work on being on the same page
"""A good job for high school students.""",5.0," Jan 18, 2017",Current,Grill,"Dallas, TX",Yes,Yes,Yes,Part-time,,"+ Great first job for young people<br>+ Above average pay (9.10 oer hour)<br>+ Free lunches<br>+ Good work ethic<br>+ Once you learn all the ropes, the job becomes cake, Until things get busy. Then again that is easy too, just dont fall behind when things ramp up.","- Difficult first job, takes a lot of getting used to",
"""A Wonderful Experience So Far""",5.0," Jan 18, 2017",Current,Crew Member,"Costa Mesa, CA",Yes,Yes,Yes,Part-time,Less than a year,"Wonderful people full of dedication and passion to achieve a better guest experience, while still being competitive with each other and connecting as well.","Not enough employee meals ! I kid, there isn't many negative things I can say about this company.",Keep an eye out and be a bit more attentive to give credit where its due at times.
"""Crew member""",4.0," Jan 22, 2017",Past,Crew Member,"Chanhassen, MN",Yes,Yes,Yes,Part-time,More than 3 years,This is a great starting job.,At my particular store the end of shift cleaning could last for hours.,n/a
"""Decent opportunity for a careerist, but otherwise not fun""",3.0," Feb 5, 2017",Past,Crew Member,"Los Angeles, CA",No,Neutral,Neutral,Full-time,Less than a year,"Food is very good, people are pretty cool overall, you learn a lot of real kitchen skills. If you can mesh well with the culture there is plenty of room for advancement.",You are essentially required to do all the jobs of a full service kitchen at fast food speeds and for fast food pay. Given the promote from within culture you're also expected to have a great deal of enthusiasm for the company which must be shown in regular meetings with supervisors. Those looking for simple part time or short term work tend to be very out of step with management/those who are clearly looking to advance.,"Realize that this isn't a career for a lot of your employees, and be more relaxed in running the kitchen."
"""Crew member""",3.0," Feb 2, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,co-workers are great people. Free food. decent pay for a first job,"its busy all the time, understaffed, over stressed, the store creates an employee vs. customer environment.",easy to advance as long as you have good kitchen skills
"""Busy""",3.0," Feb 3, 2017",Current,Anonymous Employee,,No,No,Yes,Full-time,,- Free Food<br>- Amazing Coworkers,- High Expectations<br>- Low tips,"Focus on empowering, not belittling"
"""Management & Crew""",4.0," Jan 18, 2017",Current,Sales Associate/Cashier,,Yes,Yes,Yes,Part-time,More than a year,Get really close with coworkers and make real friends and lasting relationships<br>Positive energy most of the time<br>Used to get really good hours<br>flexible scheduling<br>decent pay,ever since the sick thing we lost business so everyones hours got cut<br>SO MUCH FAVORITISM in management<br>less hours<br>can get super busy and tiring<br>sometimes we get our breaks for 7 hours shifts right before or after shift is over,treat everyone equally<br>plan out your day and think about all your coworkers skills before throwing together a schedule
"""Team Member""",5.0," Jan 20, 2017",Past,Kitchen Worker/Childcare Worker,"Sacramento, CA",Yes,Yes,Yes,Part-time,,Love on working with food.,It close counter of going shopping or district nearby.,Would like to know the salaries of team member.
"""General manager""",4.0," Jan 21, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Full-time,More than 3 years,"Working with fresh food learning a lot about leadership, business and cooking skills.",They cannot pick a direction and stay with it. Highest levels and important support roles in the company often seem unorganized.,Have patience and surround yourself with great people. Set a great example.
"""Its not a bad beginning job""",4.0," Jan 21, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,More than 3 years,Free meals during shift. 50% a meal to take home. Ease of requesting time off. Flexible hours. Can learn multiple positions. Room for growth if you really work towards it and want it.,High turnover rate of new employees (leads to not enough people know what to do and how to do it). Sometimes not enough hours to be worth the job. Constant change in management. Lack of clear communication.,Set up better communication systems. Train people differently and properly. DO NOT HAVE FAVORITE EMPLOYEES.
"""Un-professional Workplace""",3.0," Feb 1, 2017",Current,Crew Member,"Saint Paul, MN",Yes,Yes,Yes,Full-time,Less than a year,"Fast paced, quick promotions from within, great pay, tips.","Unprofessional, forgetful, business and not employee oriented, untrained management, few checks and/or balances for management.",Treat employees as people and fellow humans and not like ways of getting out of work early. Sincerely appreciate their hard work. Have fun. Be professional. Stand up for your employees in front of costumers. Be reliable.
"""6 months""",4.0," Jan 17, 2017",Current,Crew Member,"Minneapolis, MN",Yes,Yes,Neutral,Full-time,Less than a year,I like that in order for someone to get hired the entire crew has to meet them and agree to hire them.<br>The pay is pretty good compared to my old job.<br>You awls have friends at work and that you can hang out with outside of work.,Sometimes you do not get out on time due to sometimes being short people in the morning for prep or we just get so busy that there is no one to do prep because everyone is on the line or on grill.,Sometimes the way management talks to people makes it seem like they are talking down to you/other people and its not empowering so possible when employees sat something about that they could listen better?<br>When people need to change their availability because of school or something else that comes up its not always easy to get it switched.
"""Chipotle Crew Member""",4.0," Jan 19, 2017",Current,Cashier and Crew Member,"Carson, CA",Yes,Yes,Yes,,Less than a year,There are paid breaks and the staff really treats you like a family.,"Working at Chipotle and earning minimum wage is difficult because there is a lot of work to be done, but, costumer satisfaction makes it so fulfilling.","Management doesn't necessarily slack, but can be all over the place. Consistency is something that needs to be worked on."
"""Wonderful crew""",5.0," Jan 18, 2017",Current,Crew Member,,Yes,Yes,Yes,Part-time,Less than a year,Everyone is so friendly and encouraging and really want the best for you. Meeting new coworkers and cool customers is great.,"At first, it's hard work. It's demanding and of course there's frustrating customers.",Keeping hours consistent is important to your employees.
"""Great place to created your dream""",5.0," Jan 18, 2017",Current,Cashier and Crew Member,"Kernersville, NC",No,Yes,Neutral,Full-time,More than a year,If you hard worker and have 13 caraterristict this place the perfect place to created your further dream.,"I am glad being part of Chipotle family, now I been working for one year, I don't believe it ! Time go so fast, because I have so much fun, I enjoy every bit of what I did at work, and always make me work a lot harder if I seen smile in my customer face and when I heard great compliment about how great our food or how nice we greet them, and I always encourage my friend to keep doing awesome jobs everyday to created smile on my costumer.","Bit advice from me, keep build great people of course when you select of KM or SM choose the quality people and hard worker not base who is nice and know talk only. Because one of the day that person will hold rensponsible to created new leader."
"""Team member""",2.0," Feb 3, 2017",Past,Team Member,,No,No,Neutral,Part-time,Less than a year,"Free food! Good pay, and good benifits.","Almost everything. In my time (4 months) of working there I had 5 different managers, the rudest customers, all of my employees would get high and be rude. If you have anxiety please don't work here.",Learn to train better
"""Good food, not culture""",3.0," Feb 1, 2017",Past,Team Member,"Valparaiso, IN",No,Neutral,Neutral,Part-time,Less than a year,"The food is great, you get a free meal every day you work (as opposed to lots of chains which just give you a discount on a meal), and the work is fast paced but not unreasonably demanding.",The corporate culture was not something I liked at all,
"""Mind over Matter""",4.0," Jan 16, 2017",Current,Chipotle Crew Member,"Virginia Beach, VA",Yes,Yes,Yes,Part-time,Less than a year,"I love the people I work with, my manager rocks, it's okay to make mistakes, we strive to become better each day.","A lot of procedures, washing dishes, night shift you stay an extra hour or two just closing.","Keep on communicating, motivating, encouraging employees. Need more hours"
"""Cashier""",4.0," Jan 16, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,Less than a year,"The best reasons to work at chipotle is because st chipotle they give you sick time, vacation time and lots of hours . At least mine does because of all the customers we get",You don't get vacation time after a year of working there sometimes they promise you things and never do it. So don't you get your hopes out to be a big shot,Not all the managers are fit to be managers they promote people to fast. And the ones who really should be managers aren't
"""My home away from home...""",5.0," Jan 17, 2017",Current,Cashier,"Barboursville, WV",Yes,Yes,Yes,Part-time,,I'm constantly busy and moving around.<br>Management is very helpful<br>Everyone is expected to share what they know about the job and lead the new recruits.<br>I'm constantly learning something new.<br>Every day is the same but different.<br>Starting wages are awesome!<br>Free Employee Meals<br>Harvest Program<br>Cleanliness is a major responsibility.<br>Safety is always a top priority.,There is no spinach on the line.<br>There is no kale on the line.,Just keep being awesome!
"""Working at Chipotle""",5.0," Jan 17, 2017",Current,Crew Member,"El Segundo, CA",Yes,Neutral,Yes,Full-time,Less than a year,"Great Food, Great Pay, Fast Paced Environment, Great Co-Workers, Great Management, Great Hours, Awesome Job",Sometimes Rude and Difficult Customers,
"""Challenging but worth it""",5.0," Jan 17, 2017",Current,Front Line/Cashier,"Port Richey, FL",Yes,Yes,Yes,Full-time,More than a year,"Your team becomes your family. You all have each others backs and no one is above the other. My managers do everything that the crew members do with little to no fuss. It can be difficult at times, but in the end it's worth it.","""full-time"" isn't really a thing they allow, which kinda sucks, but other than that, it's usually smooth slaying.","Cut your people some slack sometimes, they're only human. But otherwise, keep up the amazing work."
"""Chipotle""",4.0," Jan 17, 2017",Current,Crew Member,"Stockton, CA",Yes,Neutral,Neutral,Part-time,,Always willing to listen to employee needs/wants.,"As always, the pay was too low.",
"""Pretty nice jump into the restaurant business.""",4.0," Jan 17, 2017",Past,Crew Member,"Canton, OH",Neutral,Neutral,Yes,Part-time,,"Really nice atmosphere, great employees, fun place to work.",Some of the management take themselves a little too seriously.,
"""Cree""",4.0," Jan 17, 2017",Current,Crew,,Yes,Neutral,Yes,Part-time,Less than a year,Everyone is open and more sharing.,Limited space. Work crowded and the technology isn't up to date to the new world,Add just a little more technology in the store to make things a little easy.
"""Good""",4.0," Jan 17, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Nice community environment, camaraderie on the staff, lots of opportunities for job growth and promotion within the company itself. Free food too!","Standing for long hours at a time, working conditions could get pretty hot owing to the instruments used. Work is pretty difficult on the whole depending on shift.","Continue the spirit of leadership and staff support that defines the company, and continue to make yourselves available as you see fit"
"""Take out specialist""",3.0," Jan 31, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,Great atmosphere and people .,Bad hires tend to ruin someones expeirence working there,
"""Fun place to work!""",5.0," Jan 16, 2017",Current,Crew,"Lowell, MA",Yes,Neutral,Yes,Part-time,Less than a year,Great management and team! Everyone is so motivated and everyone wants to move up. Lots of growth and support.<br><br>Free meal during shift and 50% off once a day if off shift.,"Everyone is competing to being a GM so it's quite competitive, but fun nonetheless!",
"""Great job""",5.0," Jan 17, 2017",Past,Crew Member,"Orlando, FL",No,Yes,Neutral,Part-time,Less than a year,"This is a great first job to have. It teaches how to work with people, and teamwork. Plus the pay is pretty good. I worked there for only four months, I was in cosmetology school at the time. I absolutely loved the job, time goes by super fast and your always on your feet. Plus you get a free meal for every shift (you can get double meat and extra guacamole and everything) and 50% every other time you come in. It's pretty great.","The people who worked at my particular location were great, except some had the tendency to pick on me. Before I left th job became extremely unstable, they started scheduling me on days I couldn't work; and working the dining room was nearly impossible; mainly because of him picky they became with the trays. I felt extremely overwhelmed.",I do love how thy encourage you to grow in this company. They hire within for managers and the opportunities are amazing. I loved my managers at my location.
"""Awful management""",2.0," Feb 1, 2017",Past,Crew Member,,Yes,Yes,Yes,,More than a year,"Good hours, free meal, discounts","Miscommunication, lack of concern from management",Listen to employees
"""Waiting for response""",4.0," Jan 16, 2017",Current,Anonymous Employee,,No,Neutral,Yes,Full-time,,Nice people and nice food,a lot of stess,
"""Kitchen Manager Trainee""",4.0," Jan 16, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Good Growth Opportunities<br>Good Hours<br>Fast Paced<br>Great food, free meal per shift","Managers can show favoritism<br>Morning prep can be stressful, if someone doesn't show up, there can be a lot of pressure",Let new back of house prep people work in teams more<br>Everything else was great!
"""They work youhard""",3.0," Jan 28, 2017",Past,Crew Member,"Cerritos, CA",No,Yes,Neutral,Full-time,Less than a year,"free food on all breaks, people are really friendly you get along with coworkers, usually diverse staff","ALOT of work, not enough time to complete tasks, rarely catch a break",
"""Crew member""",5.0," Jan 16, 2017",Current,Anonymous Employee,,Neutral,Yes,Yes,Full-time,,Great energy in the work place the staff really gets along well they practically took me under their wing,The pay is subject to change and is always changing based on where you're working for the day,Schedule correctly. When booking people from the schedule
"""Great Employer""",5.0," Jan 16, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Excellent work environment, people are nice and the whole system is very well organized.","No cons from me, everything was as great as I possibly could have hoped for.",My advice is to keep going exactly as you are now. Everything was perfect and I would work there again if I wanted an entry level job.
"""Warm/competetive culture""",5.0," Jan 16, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,There is so much support from management to reach your personal career goals- very impressed with the family-style culture that has been maintained as the company has grown.,"Open spots are few and far between, and every spot that does become available is highly competitive to get in to.",Keep up the good work! The culture is empowering and the people have genuinely grown to feel like family.
"""Dishonest Company""",2.0," Jan 30, 2017",Past,General Manager,"Portland, OR",No,No,Neutral,Full-time,More than 5 years,"Decent pay, good employees to work with. Really a pretty easy job. Great food as well!",Mid level and upper level management had unrealistic and inconsistent expectations on restaurant management. Would constantly get mixed information from different people.,Upper level management should have a more tangible set of expectations. As it was the expectations for how the restaurants were to be ran were quite ambiguous and obviously not consistent from one restaurant to another.
"""Service Manager""",4.0," Jan 15, 2017",Past,Service Manager,,Yes,Yes,Yes,Full-time,More than 5 years,"Customer Service, High Standards, Fresh Food",Too many young/immature people in management roles.,Lead by example
"""Finance Group""",4.0," Jan 15, 2017",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,Less than a year,"Free food, laid back culture, proximity to downtown.","Uncertain future, constant budget cuts.",
"""its an ok job""",4.0," Jan 15, 2017",Current,Crew and Cashier,,No,Yes,Neutral,Full-time,Less than a year,"family environment, good pay, a lot of positions to try, free employee meals and free uniform, a lot of over time","rude customers, sometimes stressful environment, a lot of regulation for corporate.","listen to employees more, not to leave everything for the last minute"
"""Busy Restaurants, Unorganized Staff""",3.0," Jan 30, 2017",Current,Crew Member,"Concord, NC",No,Neutral,Neutral,Full-time,,"Free Meal, Discount, Free Uniforms, Employee Benefits","Unorganized management, Not enough pay, Inadequate training, Sometimes don't give employees breaks when they need them and then they are hungry and exhausted to the point of physical harm.",Allot more time for training. When you don't train efficiently and thoroughly you end up having frustrated and inexperienced employees working in a high traffic location servicing customers who could care less about how confident they feel about their job.
"""Crew Member""",4.0," Jan 12, 2017",Current,Crew Member,,Yes,No,Yes,Part-time,More than a year,The coworkers make it fun. Depending what store you work at will determine the amount of work. Restauranteur stores are aloooot of work. Overall still a decent job.,"(depending on store) not flexible with hours/time off, closing sucks, don't get out till like 12 sometimes one, managers show favoritism",
"""Best work experience!!!!""",5.0," Jan 15, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Great people. Great business model. The company does actually care about their employees.,Hard fulltime work for practically Minimum wage until you get into upper management.,
"""A great company, but not perfect""",4.0," Jan 6, 2017",Current,Chipotle Crew Member,,Yes,Neutral,Neutral,Full-time,Less than a year,-Decent starting pay<br>-Opportunity to move up in the company<br>-Will work with you schedule and give you the hours you want<br>-Free meal each shift/50% off when not on the clock<br>-Paid breaks<br>-Paid sick days<br>-Free employee uniforms,"I really enjoy working at Chipotle, but lately I've felt things are unfair and not worth the hardship. To keep it brief, its a lot of work and those who learn multiple positions don't get paid more. The fact that I can work any position in the restaurant and get paid the same as a new hire is completely unfair. Yes there are opportunities to advance with the company but the pay grade isn't that great (only a dollar higher) and it doesn't justify how much harder you'll be working.",My advice would be to reward those who keep the store running. Senior crew members and new hires shouldn't be making the same.
"""Nice company to work for""",4.0," Jan 15, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,I liked working there because they pay their employees more than other food industry places.,None. They seemed to know how to make me happy.,
"""Great place to work""",4.0," Jan 15, 2017",Current,Crew Member,"Bloomington, IN",Yes,Yes,Yes,Part-time,Less than a year,"Great benefits (free food AND college reimbursement), and a great group of people to work with. Your fellow coworkers actually care about you inside and outside of the workplace. This is an excellent place to work during college","Long shifts that can be very stressful at times. Because of the high standards that you are asked to meet, there is a lot of stress that can come about",
"""Good if you love food""",3.0," Jan 28, 2017",Current,Cashier,"Wheaton, IL",No,Neutral,Yes,Part-time,Less than a year,"They pay you okay (cashier)<br>Free food when your work<br>1/2 off when you don't<br>The company has a goal and a vision (not like most companies I've worked for, especially food).<br>They want to make you grow and be better than you were before<br>It's a good day only when you're working with positive, nice people.",Some managers have bad attitudes toward workers and plays favorites<br>Drama<br>Coworkers talk a lot of smack about others,"Tell the managers under you to be nicer and less condescending. And before they complain about the workers not doing their job, make sure they're correct first rather than making the workers look like they're wrong."
"""NO BREAK!!?!""",1.0," Feb 16, 2017",Current,Cashier,"Houston, TX",No,No,Neutral,Full-time,Less than a year,Honestly the only thing I can think of is frre food.,"Where do I start!<br>FIRST of all, I'm a cashier I work Mon-Fri at one of the busiest Chipotles in Houston. The line will literally be from the beginning of the line(where you order) to the door for 3 hours! and it even wraps around the store a couple times throughout my shift. Now normally there should be a line backer that takes care of the lobby FOR the cashier but 3 out of the 5 days I work I have to do the lobby,ice, restock the drink station,(sometimes bag chips) and check people out. This is an insane amount of work for 9.25 an hour. Once the chaos cools down the lobby is a dump the trash is overflowed and I have to clean it all alone while my manager tells me to do other things. I usually work from 10:15-5pm The slowest time of the day is around 3:30. We get about 3-10 customers around that time, therefore I attempt to take a break. I always ask my manager at around 4 for a break but she always says no. I have to clean the lobby first and refill the ice again and then i can eat. BUT WHILE I EAT I HAVE TO CHECK PEOPLE OUT AT THE SAME TIME!? I literally have to take like 3 bites then run to register and check people out and run back to my food. And my final con? I always get off late. I'm not talking 15 mins or 30 mins an HOUR someties close to two hours. My manager takes forever to count my drawer and to put in the other drawer for the next cashier. Not only that but they always count my money wrong and say im short $40 or $100 and they have to count it 6 times to realize I'm not short -_-<br>BOTTOM LINE: DON'T WORK HERE",
"""Great place for a first job, they take themselves very seriously""",4.0," Jan 12, 2017",Current,KMIT,"Santa Barbara, CA",Yes,Neutral,Yes,Part-time,More than 3 years,"Free food, benefits, paid breaks, tuition reimbursement. Great place to really learn proper work place procedures. Really makes sure their employees understand what they want from them and that costumer service is opptomized",Strict rules and culture. Although they have a specific way and reason for doing everything it can be come a bit tedious and stressful at times,Communicate
"""KMIT (Kitchen Manager in Training)""",3.0," Jan 26, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Free food (Leniency in amount depends on location - mine probably adds a good $2/hour worth in food)<br>High Quality and Standards (Food w/Integrity is a real thing, and they really value those standards)<br>Opportunities to grow in the company","High Turnover (Poor treatment by managers is most common)<br>Good management at expense of poor leadership (tasks seem to have higher value than person)<br>Training Structure, meant to be active, intentional, consistent and paid - often is not.","The values and systems are there. I'm only KMIT, and I completely understand the pressure that falls on the restaurant daily, but to see the gap between the tools and ideals set by the company and the lack of implementation is disheartening. How can this company find a way to develop people without every potential feeling forced to work and train off the clock?"
"""Chipotle""",1.0," Feb 17, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,You get paid for your lunch,Management are lies to your face,Tell the truth.
"""Difficult yet rewarding""",4.0," Jan 12, 2017",Current,Restaurateur/General Manager,"Portland, OR",Yes,Neutral,Neutral,Full-time,More than 5 years,Internal promotions are the focus.<br>Great vision.<br>Clear comminication.<br>Great training tools.<br>The teams are great.<br>Delicious food and Free food.,50+ hour work week.<br>Repeatative.<br>Things from corporate move too fast and then change again because it hasnt been thoroughly tested.<br>All the pressure is on Ops.,
"""General Manager""",3.0," Jan 26, 2017",Past,General Manager,"Edison, NJ",Yes,Yes,Yes,Full-time,More than 5 years,The opportunities are there for whoever wants to put the work in. The faster and more you learn the culture the faster you will get to the top. I love the friendships and fun times we all had,They wait till things aint going well to then have a conversation. Field leaders micro manage so much it makes you feel like your not even the GM. If you disagree with them it becomes a long term problem. I feel as if your going to promote from within please take the time out to really teach people how to be an effective leader or at least a manager.,
"""Take Out Specialist""",3.0," Jan 26, 2017",Current,Take Out Specialist,"Brooklyn, NY",No,Yes,Neutral,Part-time,More than 3 years,"good benefits, good pay, cross training and kitchen skills","company culture promotes drama, stressful, a lot of work",relax and appreciate workers more
"""Alright.""",3.0," Jan 24, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Decent entry-level pay<br>Friendly coworkers<br>Teaches culinary skills,Shifty management<br>not the best hours,
"""Crew member""",4.0," Jan 7, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Great flexible hours. Paid food during break. Well maintained, and good work ethic with team. Great solutions with upset customers.",Hmm sometimes can be tiring but other than that it's a great place to start working.,
"""Great Start""",4.0," Jan 8, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Opportunity is definitely there, just have to be motivated. Culture and rules aren't complicated, fairly easy to follow. Take the job serious, move through the ranks.","Work, work, work! Hard to even find time to take breaks. Tons of cleaning among other tedious work.",Motivate your team better! Get creative and don't give up on everybody so soon.
"""I never see my family anymore :(""",1.0," Feb 11, 2017",Current,Crew Member,"Clermont, FL",No,No,Yes,Part-time,Less than a year,Good pay and cooking skills,long hours and exhausting work,
"""Grill, Line""",2.0," Jan 22, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,You will learn how to cut like a pro. Most of the food is hand cut. Employee meals are free while you are on the clock. There is a tuition re-embursement of aroud $5000 if you qualify.,"I was in lincoln nebraska at the time of employement, and the minimum wage is $9. I was given $10 because of my history in management. I was employed there for a yer and a half, and dint receive any raises, or bonuses. The only thing I received was empty promises, and chipotle propaganda. I am a student with a very demanding schedule, The management didnt seem to consider the difficulty of balancing scool/work life while making the schedule.","Make pay raises a priority. Work aroud student schedules. Rotate workers through different positions to keep them fromgetting burned out. Stop focusing on ""C7"" and focus on the Employee, and customer satisfaction."
"""CASHIER""",5.0," Jan 5, 2017",Current,Cashier,"Springfield, MA",Yes,Yes,Yes,,Less than a year,Awesome people and awesome food,Not friendly co workers and its tough to do if you cant handle fast past,
"""Worst""",1.0," Feb 9, 2017",Past,Team Member,,No,No,Neutral,,More than a year,Worst job I've ever had so none,Illegal practices and horrible management,Quit
"""Chipotle""",4.0," Jan 6, 2017",Current,Service Manager,,Yes,Neutral,Neutral,Full-time,More than 3 years,"Great benefits, lots of opportunity, decent pay for the industry; Some bosses invested in your success; employee discount was awesome",Long and tough hours; unreasonable time expectations; confusing standards; mandates from corporate that made no sense had they been in a restaurant,Listen to what your hourly managers have to say; make the job easier Be succsssful and you will fix your super high turnover rate. Pay those managers what they deserve because they have the toughest job in food service that I've ever experienced
"""Fun, but Intense""",3.0," Jan 17, 2017",Current,Cashier and Crew Member,"Mankato, MN",No,Yes,Neutral,Part-time,More than a year,"Excellent benefits, supportive staff, and fun work atmosphere. I feel genuinely like I am part of a larger family at Chipotle and am encouraged to do my best every day. The management is willing to work around my life, which involves a wife, an infant, and a toddler. This is a Godsend to me.","Work at Chipotle is intense. There is no time to recollect your thoughts or take a mental break during the day. Most of the time, we don't get a full break in the morning so we have to choke down a burrito and quickly open the store. We are expected to go at full speed all the time, regardless of what we are doing. It can be mentally and emotionally draining most days. You need stamina of all types to work here.<br><br>Turnover rate is high not only for crew members, but managers as well. At my store, I had a span of three months in which my kitchen manager, service managers, apprentice, GM, and restauranteur all quit their jobs with little to no notice because they were getting burned out from having to work fifty plus hours a week. When I saw this, I decided never to become a manager. The amount of stress you are required to bear at that level is too much for me.","Please stop talking about becoming a Restauranteur store. While it is the ideal goal, not everyone can reach it. It becomes discouraging to insist on that level of perfection, build up hope with three Restauranteur commitment dates, and then fail to get evaluated all three times. Settle for a store that runs well, instead of perfectly. The Chipotle vision can't solve all work-related problems and it's not the only way to make a work environment great. It's also not the end of the world if one small part of the vision falls short in an otherwise great rest of the day."
"""average""",3.0," Jan 18, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,they give you free meals which is pretty nice. Other than that there is not a whole lot I can say about this company. My store was not very good would not work there again,the management of my store was very poor. Other than that there is not a whole lot I can say about this company. My store was not very good would not work there again,
"""Chipotle GM""",4.0," Jan 3, 2017",Past,Anonymous Employee,,No,No,Yes,Full-time,More than a year,"Room for advancement, good wages.",Upper management does not care about employees work life balance.,
"""A labor of love and pain""",3.0," Jan 17, 2017",Current,"Prep, Line, Cash, Grill, Training for Management","Santa Cruz, CA",Neutral,Neutral,Yes,Full-time,Less than a year,Excellent teams<br>The culture of empowerment is incredibly beneficial<br>Lots of skill development opportunities<br>Good customer service experience<br>Free food anything you work<br>Management opportunity,"If you're in the wrong store you won't have a job for long.<br>Upper management on the store level has no transparency<br>Hiring is often largely based on personality, not skill or experience<br>Poor work distribution<br>Many stores are entirely understaffed","Try to let go of the projections a little, and let people actually become skilled at running a kitchen instead of relying on a bit of paper and turning to a dumpster fire when the paper is wrong. Culture is important, and people need to be proficient at what they do to honestly say they are empowered top performers. Thank you for encouraging good, safe food, but please stop flip-flopping on standards."
"""'Chip'-per Ex Crew Member""",5.0," Jan 2, 2017",Past,Chipotle Crew Member,"Austin, TX",No,No,Neutral,Full-time,More than 3 years,"Great Leadership, Engaging Environment, Structured Routine, Management Presence/Support is great, great clientele",Lunch rush can cause anxiety when you're new,
"""Great concept going down in flames.""",1.0," Feb 7, 2017",Past,Service Manager,,Yes,Yes,Neutral,Part-time,Less than a year,"Decent pay and benefits, compared to other fast food.","They say it's a people culture, but it is all about the money. And if you hold someone above you accountable prepare to be terminated for no good reason.","Think very critically about the people you put into management positions, ATL and above."
"""Its alright""",4.0," Jan 2, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Free food<br>Work environment is pretty chill,Alot of extra work<br>Stressfull job<br>Doesn't justify the pay,
"""Its a great place to work at and they pay good""",3.0," Jan 16, 2017",Past,Anonymous Employee,"Hanover, MD",Yes,Yes,Yes,Full-time,Less than a year,"its a great place for first job, pay good, free meals when you work,good pay.","All the managers are very friendly except one also they make you work when ever they want and dont let you go when you ask for days or day off. the ,ealth benefit isnt all that","let people go day off when requested also,stop letting go off employees so fast and firing people everday."
"""Chipotle""",3.0," Jan 16, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,Less than a year,i liked ti because it was constantly busy,I was working really hard for not a lot of pay because there isn't really tips being made,
"""Fun yet....""",2.0," Jan 15, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,Less than a year,Some fun people to work with,Management in the upper sectors are bias and don't care about people below,Go back to how things were. You are stressing out your workers
"""Working at chipotle""",2.0," Jan 16, 2017",Past,Crew Member,"Fairfax, VA",No,No,Neutral,Full-time,More than a year,Fee employees meal<br>50%off 1 purchase,"I quit job because<br><br>1. They bulls me<br>2. Enjoying and laughing more while I was frustrating. (Nobody helped me but yelling for hurry up)<br>3. Group of people - bulls me and no respect.<br>4. You can say drama and gossip. Each employee have favoring person. Some are easy to get isolated from group. I know some people want to say something but they didn't say nothing. If one of them are start dislike someone then it's the sign. It's beginning of bulls you<br>5. They trying to make person get fire or quit job.<br>6. Some manager have strong favorites. (Manager joined bulls someone with group of employees )<br>7. Lack of communication of employees' health issues<br>8. Some manager don't care if you're in pain or sick. Some people suffering from pain but he don't care.<br><br>I quick job and I report to company about this situation. I didn't work 3 weeks. One of manager take photo and send work schedule by group text message. What the hack...is he want to show me that none of them are got fired??? While I was working at chipotle and nobody used group text messages. I saw on the photo. My name was crossed out and write down ""New!"" I was surprised that they still have my phone number.<br><br>I guess he want to show me that none of them are got fired.",Store manager very nice but I can't say nothing until store manager fire this second manager.<br>It's very out of control when store manager wasn't stay in the store.
"""My experience""",2.0," Jan 16, 2017",Current,Crew Member,"Santee, CA",No,No,Neutral,Part-time,,"I like working at Chipotle for the most part, there's good people , and I enjoy working hard","The minimum hiring wage for crew members in my area recently when up to 11, and since I was hired before that I currently make less than anyone of our trainees; even the ones that are bad at their jobs.","Try to care about your workers a little bit we work hard, and it's unfair, and disrespectful that our new hires make more than people who've been around for almost a year or longer"
"""crew""",1.0," Feb 4, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 5 years,Make your own borittos 5,Minimum wage scrub lord 5,lol
