Rating,Number Of Ratings,Address
4.2/5,960 ratings,"9015 Queens Blvd, Rego Park, NY 11374, USA"
Fried Shrimp Platter,$18.50,Fish & Seafood,1860 calories.  Lightly Breaded and Fried Crisp with French Fries and Cole Slaw.
Southern Fried Catfish,$17.95,Fish & Seafood,"1160 calories.  Farm Raised, Lightly Breaded and Fried Crisp. Served with Mashed Potatoes, Green Beans, Buttered Corn and Rémoulade Sauce."
Shrimp and Chicken Gumbo,$18.50,Fish & Seafood,"1250 calories.  Shrimp, Chicken, Andouille Sausage, Tomatoes, Peppers, Onions and Garlic Simmered in a Spicy Cajun Style Broth with Cream. Topped with Steamed White Rice."
Shrimp Scampi,$20.95,Fish & Seafood,"1420 calories.  Paris Bistro-Style! Sautéed with Whole Cloves of Garlic, White Wine, Fresh Basil and Tomato. Served with Angel Hair Pasta."
Seared Ahi Tuna,$20.95,Fish & Seafood,"1090 calories.  Chilled and Served Over White Rice with Sriracha Aioli, Stir-Fried Vegetables and Wasabi Butter Sauce."
Jamaican Black Pepper Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken,$17.95,Fish & Seafood,"1350 calories.  Chicken with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken & Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp & Chicken with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Fresh Grilled Salmon,$19.95,Fish & Seafood,1130 calories. Served with Mashed Potatoes and Broccoli.
Herb Crusted Filet of Salmon,$20.95,Fish & Seafood,"1310 calories.  Fresh Salmon with a Delicious Lemon Sauce, Asparagus and Mashed Potatoes."
Miso Salmon,$20.95,Fish & Seafood,"1340 calories.  Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Shrimp Scampi and Steak Diane,$22.95,Factory Combinations,1790 calories.
Chicken Madeira and Steak Diane,$22.95,Factory Combinations,1670 calories.
Steak Diane and Herb Crusted Salmon,$22.95,Factory Combinations,1710 calories.
Grilled Pork Chop,$19.95,Steaks & Chops,"1150 calories.  A Thick Center-Cut Chop Served with Housemade Apple Sauce, Mashed Potatoes and Vegetable."
Steak Diane,$20.50,Steaks & Chops,1150 calories.  Medallions of Steak Covered with Black Peppercorns and a Rich Mushroom Wine Sauce. Served with Mashed Potatoes and Grilled Onions.
Hibachi Steak,$20.95,Steaks & Chops,"1330 calories.  Certified Angus Beef® Hanger Steak with Shiitake Mushrooms, Onions, Bean Sprouts, Wasabi Mashed Potatoes and Tempura Asparagus."
Asian Chicken Lettuce Wrap Tacos,$8.50,SkinnyLicious®: Small Plates & Appetizers,"410 calories.  Butter Lettuce Leaves Filled with Grilled Chicken and Carrots, Bean Sprouts, Cucumber, Cilantro and Rice Noodles with Spicy Peanut and Cashew Sauces."
Mexican Chicken Lettuce Wrap Tacos,$8.50,SkinnyLicious®: Small Plates & Appetizers,"220 calories.  Butter Lettuce Leaves Filled with Grilled Chicken and Avocado, Tomato, Onion, Cilantro, Roasted Corn Salsa and Crema."
SkinnyLicious Shrimp Summer Rolls,$7.95,SkinnyLicious®: Small Plates & Appetizers,"390 calories.  Delicate Rice Paper Rolled Around Asparagus, Shiitake Mushrooms, Carrots, Rice Noodles, Green Onion, Cilantro and Shrimp. Served Chilled with Spicy Chili and Peanut Dipping Sauces."
SkinnyLicious Salmon Rolls,$11.95,SkinnyLicious®: Small Plates & Appetizers,340 calories.  Spiced Fresh Salmon Rolled in Spinach and Fried in a Crisp Wrapper. Served with a Sweet Hot Chili Sauce.
SkinnyLicious Caesar Salad,$10.95,SkinnyLicious®: Salads,"590 calories.  820 calories with chicken. Romaine Lettuce, Croutons, Parmesan Cheese and Our Special Caesar Dressing."
SkinnyLicious Fresh Vegetable Salad,$10.95,SkinnyLicious®: Salads,"400 calories.  640 calories.  Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with SkinnyLicious® Pomegranate Vinaigrette. Salad Option: Add Chicken + 240 Calories."
SkinnyLicious Factory Chopped Salad,$13.50,SkinnyLicious®: Salads,"530 calories.  A Delicious Blend of Julienne Romaine, Grilled Chicken, Tomato, Avocado, Corn, Bacon, Blue Cheese and Apple with Our SkinnyLicious® Vinaigrette."
SkinnyLicious Asian Chicken Salad,$14.95,SkinnyLicious®: Salads,"540 calories. Grilled Chicken, Romaine, Carrots, Bean Sprouts, Green Onions, Cilantro, Rice Noodles, Wontons, Almonds and Sesame Seeds Served with Our SkinnyLicious® Sesame-Soy Dressing."
Mexican Tortilla Salad,$14.95,SkinnyLicious®: Salads,"570 calories.  Crispy Corn Tortilla Topped with Grilled Chicken Breast and Black Beans with Mixed Greens, Fresh Corn, Green Onion and Cilantro. All Tossed in Our SkinnyLicious® Vinaigrette and Garnished with a little Avocado Cream Sauce, Salsa and Sour Cream."
SkinnyLicious Hamburger,$11.95,SkinnyLicious®: Specialties,"550 Calories. Our Hamburger on a Toasted Bun with Lettuce, Tomato, Onion, Pickles and Mayonnaise. Served with a Green Salad."
SkinnyLicious Veggie Burger,$12.95,SkinnyLicious®: Specialties,"550 Calories. A Delicious ""Burger"" Made with Brown Rice, Farro, Mushrooms, Black Beans & Onion. Served on a Toasted Bun with Lettuce, Tomato, Red Onion, Pickles & Mayo. Served with a Green Salad."
SkinnyLicious Grilled Turkey Burger,$12.50,SkinnyLicious®: Specialties,"490 Calories. Combined with Fresh Mushrooms, Garlic and Spices. Served with Grilled Onions, Lettuce, Tomato, Mayo and a Green Salad."
SkinnyLicious Chicken Salad Sandwich,$11.95,SkinnyLicious®: Specialties,"490 Calories. Housemade with Roasted Almonds, Lettuce, Tomato and Mayonnaise. Served on Toasted Brioche Bread with a Green Salad."
SkinnyLicious Turkey & Avocado Sandwich,$12.95,SkinnyLicious®: Specialties,"530 Calories. Freshly Roasted Turkey Breast, Smoked Bacon, Avocado, Tomato and Mayonnaise on a Toasted Bun. Served with a Green Salad."
SkinnyLicious Chicken Soft Tacos,$12.95,SkinnyLicious®: Specialties,"480-490 Calories. Three Soft Corn Tortillas Filled with Spicy Chicken or Shrimp, Avocado, Tomato, Onions, Cilantro and Crema. Served with Escabeche Vegetable Salad."
SkinnyLicious Shrimp Soft Tacos,$15.95,SkinnyLicious®: Specialties, 
SkinnyLicious Chicken Pasta,$13.95,SkinnyLicious®: Specialties,"560 Calories. Rigatoni Pasta with Sautéed Chicken, Fresh Tomato, Marinara Sauce and Fresh Basil."
SkinnyLicious Chicken Pot Pie,$13.95,SkinnyLicious®: Specialties,"590 Calories. Tender Pieces of Sauteed Chicken Breast, Potato, Mushrooms, Onions, Peas and Carrots in a Light Cream Sauce. Topped with Buttery Puff Pastry."
SkinnyLicious Chicken Enchiladas,$13.95,SkinnyLicious®: Specialties,530 Calories. Covered with Our Red Chile Sauce and Melted Cheese. Served with Escabeche Vegetable Salad.
Tuscan Chicken,$17.95,SkinnyLicious®: Specialties,"580 Calories. Grilled Chicken Breast with Tomatoes, Artichokes, Capers, Fresh Basil and Balsamic Vinaigrette. Served over Fresh Vegetables and Farro."
Lemon-Garlic Shrimp,$17.95,SkinnyLicious®: Specialties,"510 Calories. Sautéed Shrimp, Basil, Tomato and Lemon-Garlic Sauce. Served with Asparagus and Angel Hair Pasta."
SkinnyLicious Grilled Salmon,$18.95,SkinnyLicious®: Specialties,570 Calories. Served with Assorted Fresh Vegetables.
Grilled Steak Medallions,$17.95,SkinnyLicious®: Specialties,"400 Calories. Served with Fresh Asparagus, Shiitake Mushrooms, Sauteed Cherry Tomatoes, Crusted Croutons, Mashed Potatoes and Madeira Wine Sauce."
Farm Fresh Eggs,$8.95,Eggs & Omelettes,"475-1270 calories.  Two Farm Fresh Eggs Served with Potatoes or Tomatoes, Toast, Bagel or English Muffin."
Farm Fresh Eggs with Old Smokehouse Bacon,$11.95,Eggs & Omelettes, 
Farm Fresh Eggs with Grilled Ham,$11.95,Eggs & Omelettes, 
Factory Huevos Rancheros,$12.50,Eggs & Omelettes,"1020 calories.  Black Beans Topped with Crispy Tortillas, Sunny Side Up Eggs, Spicy Ranchero Sauce, Cheese, Salsa, Sour Cream and Avocado."
Brioche Breakfast Sandwich,$12.50,Eggs & Omelettes,"1225-2020 calories.  Scrambled Egg, Smoked Bacon, Ham, Grilled Tomato, Melted Cheddar Cheese and Mayonnaise on Grilled Brioche Bread. Served with Potatoes."
Factory Create an Omelette,$13.95,Eggs & Omelettes,"855-2490 calories.  Select Any Four of the Following: Bacon, Ham, Cheddar, Jack, Swiss, Fontina, Goat Cheese, Avocado, Roasted Peppers, Fresh Mushrooms, Asparagus, Spinach, Bell Peppers, Fresh Tomato, Red Onions or Green Onions."
Farmhouse Omelette,$13.95,Eggs & Omelettes,"1605-2400 calories.  Sautéed Potatoes, Smoked Bacon, Grilled Onions and Melted Cheese Topped with Sour Cream, Green Onion and Potato Crisps."
California Omelette,$13.95,Eggs & Omelettes,"1135-1930 calories.  Avocado, Mushrooms, Green Onion, Tomato, Garlic and Shallots, Jack, Cheddar and Swiss Cheese with Sour Cream."
Breakfast Burrito,$14.95,Eggs & Omelettes,"2730 calories.  A Warm Tortilla Filled with Scrambled Eggs, Bacon, Chicken Chorizo, Cheese, Crispy Potatoes, Avocado, Peppers and Onions, Over Spicy Ranchero Sauce. Served with Sour Cream, Salsa and Black Beans."
"Spinach, Mushroom, Bacon and Cheese Omelette",$13.95,Eggs & Omelettes,"1065-1860 calories.  Fresh Spinach, Sautéed Mushrooms, Smoked Bacon, Green Onions and Melted Cheese."
Kids' Roadside Sliders,$6.95,Kids' Menu,390 Calories. Two Bite-Sized Burgers on Mini-Buns. Served with Fries or Fresh Fruit.
Kids' Southern Fried Chicken Sliders,$6.95,Kids' Menu,700 Calories. Crispy Fried Chicken Breast on Two Mini-Buns. Served with Fries or Fresh Fruit.
Kids' Mini Corn Dogs,$6.50,Kids' Menu,610 Calories. Three All Beef Mini Hot Dogs. Served with Fries or Fresh Fruit.
Kids' Grilled Cheese Sandwich,$5.95,Kids' Menu,450 Calories. Served with Fries or Fresh Fruit.
Kids' Fried Chicken Strips,$6.95,Kids' Menu,690 Calories. Served with Fries or Fresh Fruit.
Kids' Pasta with Butter and Parmesan,$5.95,Kids' Menu,540-930 Calories.
Kids' Pasta with Marinara Sauce,$6.95,Kids' Menu, 
Kids' Pasta with Alfredo Sauce,$7.95,Kids' Menu, 
Kids' Spaghetti with Meatball,$7.50,Kids' Menu,690 Calories.
Kids' Macaroni and Cheese,$6.95,Kids' Menu,1110 Calories.
Kids' Cheese Pizza,$6.95,Kids' Menu,810-970 Calories.
Kids' Pepperoni Pizza,$6.95,Kids' Menu, 
Kids' Quesadilla,$7.50,Kids' Menu,790-910 Calories. Grilled Flour Tortilla Filled with Melted Cheese.
Kids' Quesadilla with Chicken,$8.95,Kids' Menu, 
Kids' Grilled Chicken,$7.95,Kids' Menu,450 Calories. Served with Potatoes and a Vegetable.
Kids' Grilled Salmon,$9.50,Kids' Menu,580 Calories. Served with Potatoes and a Vegetable.
Kids' Scoop of Ice Cream,$2.95,Kids' Menu,190-500 Calories.
Kids' Mini Hot Fudge Sundae,$3.95,Kids' Menu, 
Kids' Strawberries,$2.95,Kids' Menu, 
French Fries,$4.95,Side Dishes,1070 calories.
Green Beans,$5.95,Side Dishes,150 calories.
Sweet Potato Fries,$5.95,Side Dishes,1190 calories.
Corn Succotash,$5.95,Side Dishes,290 calories.
Mashed Potatoes,$4.95,Side Dishes,450 calories.
Sautéed Spinach,$5.95,Side Dishes,250 calories.
Macaroni & Cheese,$6.95,Side Dishes,1510 calories.
Oven Roasted Broccoli,$5.95,Side Dishes,220 calories.
Grilled Asparagus,$6.95,Side Dishes,150 calories.
Original,$6.95,Cheesecakes & Specialty Desserts,840 calories.  The One that Started it All! Our Famous Creamy Cheesecake with a Graham Cracker Crust and Sour Cream Topping.
Fresh Strawberry,$8.50,Cheesecakes & Specialty Desserts,1010 calories.  The Original Topped with Glazed Fresh Strawberries. Our Most Popular Flavor for over 35 Years!
Celebration Cheesecake,$8.50,Cheesecakes & Specialty Desserts,"1390 calories.  Layers of Vanilla Cake, Cheesecake, Strawberry, Chocolate and Vanilla Mousse with Cream Cheese Frosting."
Chocolate Hazelnut Crunch Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1410 calories.  Chocolate Hazelnut Cheesecake Topped with Hazelnut Crunch and Nutella®.
Salted Caramel Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1240 calories.  Caramel Cheesecake and Creamy Caramel Mousse on a Blonde Brownie all Topped with Salted Caramel.
Coffee & Cream Chocolate Supreme,$7.95,Cheesecakes & Specialty Desserts,1220 calories. Cold Brew Coffee Cheesecake and Chocolate Cake topped with Coffee Mascarpone Mousse.
Oreo Dream Extreme Cheesecake,$8.50,Cheesecakes & Specialty Desserts,"1640 calories.  Creamy Cheesecake Layered with Oreo® Cookies, Topped with Oreo® Cookie Mousse and Chocolate Icing."
Toasted Marshmallow S'mores Galore™,$7.95,Cheesecakes & Specialty Desserts,1570 calories.  Hershey’s® Cheesecake Topped with Housemade Marshmallow and Honey Maid® Graham Crackers.
Lemon Meringue Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1180 calories.  Lemon Cream Cheesecake Topped with Layers of Lemon Mousse and Meringue.
Adam's Peanut Butter Cup Fudge Ripple,$7.95,Cheesecakes & Specialty Desserts,"1280 calories. Creamy Cheesecake Swirled with Caramel, Peanut Butter, Butterfingers® and Reese’s® Peanut Butter Cups."
Godiva Chocolate Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1250 calories.  Flourless Godiva® Chocolate Cake, Topped with Godiva® Chocolate Cheesecake and Chocolate Mousse."
Ultimate Red Velvet Cake Cheesecake™,$8.50,Cheesecakes & Specialty Desserts,1590 calories.  Layers of Red Velvet Cake and Cheesecake Covered in Cream Cheese Frosting. Finished with White Chocolate.
Reese's Peanut Butter Chocolate Cake Cheesecake,$8.50,Cheesecakes & Specialty Desserts,1530 calories.  Reese’s® Peanut Butter Cups in Our Original Cheesecake with Layers of Delicious Fudge Cake and Caramel.
Dulce de Leche Caramel Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1400 calories.  Caramel Cheesecake Topped with Caramel Mousse and Almond Brickle on a Vanilla Crust.
White Chocolate Raspberry Truffle,$7.95,Cheesecakes & Specialty Desserts,1230 calories.  Creamy Cheesecake Swirled with White Chocolate and Raspberry.
Chris' Outrageous Cheesecake™,$8.50,Cheesecakes & Specialty Desserts,"1560 calories.  Chocolate Chip Coconut Cheesecake with Layers of Chocolate Cake, Brownie and Coconut Pecan Frosting."
Mango Key Lime Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1230 calories.  Topped with Mango Mousse on a Vanilla Coconut Macaroon Crust.
Fresh Banana Cream Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1260 calories.  Banana Cream Cheesecake Topped with Bavarian Cream and Fresh Sliced Banana.
White Chocolate Caramel Macadamia Nut Cheesecake,$8.50,Cheesecakes & Specialty Desserts,1560 calories.  White Chocolate Chunk Cheesecake Swirled with Macadamia Nuts and Caramel on a Blonde Brownie Crust.
Lemon Raspberry Cream Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1060 calories.  Raspberry-Vanilla Cake, Creamy Lemon Cheesecake, Raspberry Lady Fingers and Lemon Mousse."
Tiramisu Cheesecake,$7.95,Cheesecakes & Specialty Desserts,960 calories.  Our Wonderful Cheesecake and Tiramisu Combined into one Amazing Dessert!
Chocolate Mousse Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1230 calories.  Silky Chocolate Cheesecake Topped with a Layer of Belgian Chocolate Mousse.
Chocolate Tuxedo Cream Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1200 calories. Layers of Our Fudge Cake, Chocolate Cheesecake, Vanilla Mascarpone Mousse and Chocolate."
Hershey's Chocolate Bar Cheesecake,$8.50,Cheesecakes & Specialty Desserts,1390 calories.  Hershey’s® Cheesecake Between Moist Chocolate Cake with Creamy Chocolate Frosting and Chocolate Chips.
30th Anniversary Chocolate Cake Cheesecake,$8.50,Cheesecakes & Specialty Desserts,"1310 calories.  Layers of Our Original Cheesecake, Fudge Cake and Chocolate Truffle Cream."
Chocolate Chip Cookie-Dough Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1440 calories.  Creamy Cheesecake Loaded with Our Chocolate Chip Cookie-Dough with Walnuts.
Key Lime Cheesecake,$7.95,Cheesecakes & Specialty Desserts,1180 calories.  Key Lime Pie in a Cheesecake! Deliciously Tart and Creamy on a Vanilla Crumb Crust.
Low Carb Cheesecake,$7.50,Cheesecakes & Specialty Desserts,610 calories.  Sweetened with Splenda®. Smooth and Creamy with a Graham-Walnut Crust.
Low Carb Cheesecake with Strawberries,$7.95,Cheesecakes & Specialty Desserts,620 calories.  Sweetened with Splenda®. Graham-Walnut Crust with Fresh Strawberries and Whipped Cream.
Caramel Pecan Turtle Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1330 calories.  Pecan Brownie and Caramel-Fudge Swirl Cheesecake, Topped with Caramel Turtle Pecans and Chocolate."
Snickers Bar Chunks and Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1330 calories.  Creamy Cheesecake Topped with Snickers® Bar, Fudge and Caramel."
Craig's Crazy Carrot Cake Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"1170 calories.  Carrot Cake and Cheesecake Swirled Together, Topped with Cream Cheese Icing and Roasted Almonds."
Cherry Cheesecake,$7.50,Cheesecakes & Specialty Desserts,1110 calories.  A Classic! The Original Topped with Cherry Preserves.
Linda's Fudge Cake,$8.50,Cheesecakes & Specialty Desserts,1460 calories. Layers of Rich Chocolate Cake and Fudge Frosting.
Black-Out Cake,$8.50,Cheesecakes & Specialty Desserts,"1560 calories.  Our Deepest, Richest Chocolate Cake with Chocolate Chips, Finished with Almonds."
Carrot Cake,$8.50,Cheesecakes & Specialty Desserts,1730 calories.  Deliciously Moist Layers of Carrot Cake and Our Famous Cream Cheese Icing.
Warm Apple Crisp,$8.50,Cheesecakes & Specialty Desserts,1490 calories.  Our Delicious Crispy Nutty Topping and Vanilla Ice Cream.
Lemoncello Cream Torte™,$8.50,Cheesecakes & Specialty Desserts,1150 calories.  Layers of Vanilla Cake and Lemon Mascarpone Cream. Topped with Streusel and Served with Strawberries and Whipped Cream.
Tiramisu Cake,$8.50,Cheesecakes & Specialty Desserts,"1280 calories.  Italian Custard Made with Mascarpone, Whipped Cream, Lady Fingers, Chocolate, Marsala and Coffee Liqueur."
Chocolate Tower Truffle Cake™,$8.50,Cheesecakes & Specialty Desserts,1780 calories.  Layers and Layers of Fudge Cake with Chocolate Truffle Cream and Chocolate Mousse.
Fresh Strawberry Shortcake,$8.95,Cheesecakes & Specialty Desserts,"1430 calories.  Our Own Shortcake Topped with Vanilla Ice Cream, Fresh Strawberries and Whipped Cream."
Bowl of Fresh Strawberries,$7.50,Cheesecakes & Specialty Desserts,250 calories.
10 Inch Original,$45.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Fresh Strawberry,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Celebration Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chocolate Hazelnut Crunch Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Salted Caramel Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Toasted Marshmallow S'Mores Galore™,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Oreo Dream Extreme Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Coffee & Cream Chocolate Supreme,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Lemon Meringue Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Adam's Peanut Butter Cup Fudge Ripple,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Godiva Chocolate Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Ultimate Red Velvet Cake Cheesecake™,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Reese's Peanut Butter Chocolate Cake Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch 30th Anniversary Chocolate Cake Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Dulce De Leche Caramel Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch White Chocolate Raspberry Truffle,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chris' Outrageous Cheesecake™,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Mango Key Lime Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Fresh Banana Cream Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch White Chocolate Caramel Macadamia Nut Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Lemon Raspberry Cream Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Tiramisu Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chocolate Mousse Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Vanilla Bean Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chocolate Tuxedo Cream Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Hershey's Chocolate Bar Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chocolate Chip Cookie-Dough Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Key Lime Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Low Carb Cheesecake,$51.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Low Carb Cheesecake With Strawberries,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Caramel Pecan Turtle Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Snickers Bar Chunks And Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Craig's Crazy Carrot Cake Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Cherry Cheesecake,$53.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Linda's Fudge Cake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Black-Out Cake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Carrot Cake,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Lemoncello Cream Torte™,$55.95,Whole Cheesecakes and Specialty Cakes, 
10 Inch Chocolate Tower Truffle Cake™,$55.95,Whole Cheesecakes and Specialty Cakes, 
6 Inch Original,$18.95,Whole Cheesecakes and Specialty Cakes, 
6 Inch Fresh Strawberry,$25.95,Whole Cheesecakes and Specialty Cakes, 
6 Inch Cherry Cheesecake,$23.95,Whole Cheesecakes and Specialty Cakes, 
6 Inch Chocolate Mousse Cheesecake,$23.95,Whole Cheesecakes and Specialty Cakes, 
6 Inch White Chocolate Raspberry Truffle,$23.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Original,$26.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Ultimate Red Velvet Cake Cheesecake™,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Reese's Peanut Butter Chocolate Cake Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Oreo Dream Extreme Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Salted Caramel Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch 30th Anniversary Chocolate Cake Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Godiva Chocolate Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Chocolate Mousse Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch White Chocolate Raspberry Truffle,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Dulce De Leche Caramel Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Fresh Banana Cream Cheesecake,$30.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Adam's Peanut Butter Cup Fudge Ripple,$29.95,Whole Cheesecakes and Specialty Cakes, 
7 Inch Lemon Raspberry Cream Cheesecake,$29.95,Whole Cheesecakes and Specialty Cakes, 
Hot Fudge Sundae,$8.50,Ice Cream Delights,1320 calories.  The Best Hot Fudge Anywhere. Topped with Whipped Cream and Almonds.
Godiva Chocolate Brownie Sundae,$8.95,Ice Cream Delights,"1740 calories.  Our own Fabulous Godiva® Chocolate Brownie, Vanilla Ice Cream, Hot Fudge, Whipped Cream and Toasted Almonds."
Bowl of Vanilla Ice Cream,$6.95,Ice Cream Delights,750 calories.
Freshly Brewed Coffee,$2.25,Beverages,5 calories.  Our Blend of Artisan Batch Roasted Coffee.
Cold Brew Iced Coffee,$3.95,Beverages,"10 calories. Our Signature Blend, Cold Brewed to Perfection."
Certified Organic Black Tea,$2.25,Beverages, 
Certified Organic Herb Tea,$2.25,Beverages, 
Freshly Brewed Black Tea,$2.25,Beverages, 
Freshly Brewed Green Tea,$2.25,Beverages, 
Freshly Brewed Sweet Tea,$2.25,Beverages, 
The Cheesecake Factory Special Lemonade,$2.50,Beverages,490 calories.
Strawberry Lemonade,$2.95,Beverages,490 calories.
Raspberry Lemonade,$2.95,Beverages,490 calories.
Cucumber Lemonade,$2.95,Beverages,510 calories.
Soft Drink,$2.25,Beverages,0-130 calories.
Fiji Natural Artesian Water,$3.95,Beverages,0 calories.
San Pellegrino Water,$3.95,Beverages,0 calories.
Apple Juice,$3.95,Beverages,190 calories.
Arnold Palmer,$2.50,Beverages,250 calories.
Fresh Orange Juice,$4.95,Beverages,170 calories.
Strawberry Fruit Smoothie,$6.95,Iced & Frozen Drinks,"210 calories.  Strawberries, Orange and Pineapple Juices, Coconut and Banana All Blended with Ice."
Tropical Smoothie,$6.95,Iced & Frozen Drinks,"400 calories.  Mango, Passion Fruit, Pineapple and Coconut All Blended with Ice."
Peach Smoothie,$6.95,Iced & Frozen Drinks,330 calories. . Crushed Peaches and Juice All Blended with Ice and Swirled with Raspberry.
Frozen Iced Mango,$6.95,Iced & Frozen Drinks,"400 calories. Mango, Tropical Juices and a Hint of Coconut Blended with Ice and Swirled with Raspberry Purée."
Chocolate Shake,$7.95,Creamy Milkshakes,1210 calories.  Our Classic Creamy Shakes.
Vanilla Shake,$7.95,Creamy Milkshakes,1310 calories.  Our Classic Creamy Shakes.
Strawberry Shake,$7.95,Creamy Milkshakes,1270 calories.  Our Classic Creamy Shakes.
Oreo Milkshake,$7.95,Creamy Milkshakes,1680 calories.  Oreo® Cookies Blended with Vanilla Ice Cream.
Café Latte,$4.50,Hot Drinks & Espresso,"150 calories.  Double Espresso, Extra Steamed Milk."
Café Mocha,$4.95,Hot Drinks & Espresso,"670 calories.  Espresso, Chocolate, Steamed Milk, Whipped Cream."
Cappuccino,$4.50,Hot Drinks & Espresso,100 calories.  Double Espresso and Foamy Steamed Milk.
Double Espresso,$3.50,Hot Drinks & Espresso,5 calories.
Caramel Royale Macchiato,$4.95,Hot Drinks & Espresso,"590 calories.  Double Espresso, Hot Caramel, Vanilla and Steamed Milk."
Factory Hot Chocolate,$3.95,Hot Drinks & Espresso,810 calories.
