Rating,Number Of Ratings,Address
4.5/5,302 ratings,"2715 Fairfield Commons, Beavercreek, OH 45431, USA"
Hickory Brisket and Bacon Burger,$13.50,BJ's Loaded Burgers,"Sweet, tangy BJ’s Peppered BBQ sauce | smoked brisket | applewood smoked bacon | jack + cheddar cheese | red onions | mayonnaise | served with fries (cal. 1610)."
Bacon Cheeseburger,$11.75,BJ's Loaded Burgers,Applewood smoked bacon | cheddar cheese | tomatoes | lettuce | pickles | mayonnaise | BJ’s signature burger sauce | served with fries (cal. 1380).
Classic Burger,$10.95,BJ's Loaded Burgers,Fire-grilled beef patty | tomatoes | lettuce | pickles | premium parker house bun | mayonnaise | BJ’s signature burger sauce | served with fries (cal. 1210).
Crispy Jalapeño Burger,$12.50,BJ's Loaded Burgers,Fried jalapeños | pepper jack cheese | chipotle mayonnaise | red onions | tomatoes | lettuce | cilantro | served with fries (cal. 1310).
Portobello Swiss Burger,$13.50,BJ's Loaded Burgers,"Grilled portobello mushroom | Swiss cheese | basil pesto | arugula | balsamic vinaigrette | caramelized onions | tomatoes | roasted garlic aioli | served with fries
 (cal. 1430)."
Bacon-Guacamole Deluxe Burger,$12.95,BJ's Loaded Burgers,Housemade guacamole | applewood smoked bacon | pepper jack cheese | chipotle mayonnaise | red onions | tomatoes | jalapeños | served with fries (cal. 1590).
BJ's Brewhouse Burger,$8.50,BJ's Brewhouse Burgers,Lettuce | tomatoes | grilled onions | pickles | parmesan-crusted bun | served with fries (cal. 1000).
Black and Bleu-House,$9.75,BJ's Brewhouse Burgers,Chipotle | bleu cheese crumbles | applewood smoked bacon | grilled onions | tomatoes | Parmesan-crusted bun | roasted garlic aioli | served with fries (cal. 1160).
Chicken Fried Steak Burger,$12.25,BJ's Brewhouse Burgers,"Our diner-style beef burger, hand breaded and fried | pepper cream gravy | pepper jack cheese | sliced avocado | tomatoes | mayonnaise | fried egg | served with fries."
Southern Comfort Crispy Chicken Sandwich,$12.25,Crispy Chicken Sandwiches,Crispy fried chicken | sliced ham | applewood smoked bacon | creamy alfredo | Swiss cheese | Dijon mayonnaise | toasted parker house bun | served with fries.
Nashville Hot Crispy Chicken Sandwich,$11.50,Crispy Chicken Sandwiches,Crispy fried chicken | Nashville hot sauce | dill pickles | ranch | toasted parker house bun | served with fries.
BJ's Classic Chicken Sandwich,$11.25,Crispy Chicken Sandwiches,Crispy fried chicken | honey mustard | lettuce | tomato | dill pickles | toasted parker house bun | served with fries.
Classic Prime Rib Dip,$14.95,Sandwiches and Tacos,"Sliced, slow-roasted prime rib | hoagie roll | au jus | creamy horseradish served on the side | served with fries (cal. 1270)."
Hand-Pulled Turkey Dip,$12.50,Sandwiches and Tacos,Slow-roasted herb Turkey breast | Swiss cheese | caramelized onions | hoagie roll | au jus | horseradish aioli | served with fries (cal. 1330).
Enlightened Mediterranean Chicken Pita Tacos,$10.75,Sandwiches and Tacos,Seasoned grilled chicken | cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Enlightened Shrimp and Arugula Pita Tacos,$11.25,Sandwiches and Tacos,Broiled shrimp | tomatoes | arugula | parmesan cheese | cilantro lime vinaigrette | chargrilled pita | seasonal bistro grains on the side (cal. 790).
Barbeque Pulled Pork,$11.75,Sandwiches and Tacos,Hand-pulled pork shoulder | BJ’s peppered BBQ sauce | crispy onion strings | creamy BBQ ranch dressing | toasted parker house bun | BJ’s signature coleslaw (cal. 1420).
Mahi-Mahi or Shrimp Tacos,$10.95,Sandwiches and Tacos,"Chipotle mayonnaise | santa fe dressing | napa cabbage | carrots | red onions | cilantro | avocado ranch | fire-roasted tomato salsa | tortilla chips
Choice of two tacos: Flame-Broiled Mahi-Mahi | Lightly Fried Mahi-Mahi | Cajun Shrimp (cal. 640-770)."
Enlightened Barbacoa Cauliflower Pita Tacos,$9.50,Sandwiches and Tacos,Roasted barbacoa cauliflower | roasted red peppers | corn | jack + cheddar cheese | yellow onions | tomatoes | Greek yogurt crema | cilantro | chargrilled pita | seasonal bistro grains on the side (cal. 650).
California Chicken Club,$12.25,Sandwiches and Tacos,Grilled chicken | applewood smoked bacon | avocado | melted Swiss cheese | lettuce | tomatoes | roasted garlic aioli | grilled sourdough bread (cal. 1280).
"6"" Deep Dish Pizza",$5.95,Kid's Menu,"Choice of 6"" cheese or pepperoni pizza | choice of kids' drink."
Chicken Tenders,$6.25,Kid's Menu,Fried chicken tenders | served with ranch.
Mac 'N' Cheese,$6.25,Kid's Menu,Hot and tasty kraft™ macaroni & cheese.
Mini Corn Dogs,$6.25,Kid's Menu,Mini corn dogs.
Grilled Cheese,$6.25,Kid's Menu,Grilled sourdough | melted cheddar cheese.
Kids' Burger,$6.25,Kid's Menu,"Burger with lettuce, tomatoes, and pickles. Served with your choice of kids' side and drink."
Spaghetti,$6.25,Kid's Menu,Spaghetti | choice of sauce.
Big Kids' Grilled Chicken,$6.25,Kid's Menu,Grilled chicken | rice pilaf | steamed veggies | choice of kids' drink.
Big Kids' Grilled Chicken Alfredo,$6.25,Kid's Menu,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese | garlic parmesan knot | choice of kids' drink."
Kid's Mini Pizookies,$2.75,Kid's Menu,A warm cookie topped with ice cream. Your choice of: chocolate chunk | white chocolate macadamia nut | cookies 'n' cream | peanut butter | salted caramel | triple chocolate | gluten - free chocolate chip.
Kid's Sundae,$1.95,Kid's Menu,Scoop of rich vanilla bean ice cream | chocolate syrup | whipped cream | cherry on top.
BJ's Peanut Butter S'mores,$6.95,World-Famous Pizookies®,Premium flavors. Ghirardelli® triple chocolate cookie | peanut butter | marshmallow fluff | marshmallows | rich vanilla bean ice cream | available in regular size only. (cal. 1580).
Cookies 'N' Cream,$6.75,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with the taste of oreo® cookies | rich vanilla bean ice cream | a dollop of mousse (cal. 1230).
Monkey Bread,$6.95,World-Famous Pizookies®,"Premium flavors. Fresh-baked, pull-apart bread | butter | brown sugar | cinnamon | rich vanilla bean ice cream (cal. 1260)."
Salted Caramel,$6.95,World-Famous Pizookies®,Caramel cookie dough | sweet almond toffee | crunchy pretzel bites | white + Ghirardelli ®  dark chocolate chips | rich vanilla bean ice cream | caramel sauce (cal. 1360).
Triple Chocolate Made with Ghirardelli,$6.95,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with chunks of ghirardelli® chocolate | ghirardelli® double chocolate chip ice cream | ghirardelli® dark chocolate chips (cal. 1180).
Gluten‑Free Chocolate Chip,$6.95,World-Famous Pizookies®,Premium flavors. Gluten-free item. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1180).
Chocolate Chunk,$6.50,World-Famous Pizookies®,Classic flavors. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1150).
White Chocolate Macadamia Nut,$6.50,World-Famous Pizookies®,Classic flavors. Buttery sugar cookie | white chocolate chunks | macadamia nuts | rich vanilla bean ice cream (cal. 1220).
Peanut Butter,$6.50,World-Famous Pizookies®,Classic flavors. Fresh-baked peanut butter cookie | rich vanilla bean ice cream (cal. 1220).
Pizookie Trio,$9.95,World-Famous Pizookies®,Your choice† of three mini pizookies. ® each served with a scoop of ice cream (cal. 1740-2160).
Mini Pizookie,$3.75,World-Famous Pizookies®, 
BJ's Baked Beignet,$6.95,More Great Desserts,Fluffy dough baked golden brown | dusting of cinnamon + sugar | rich vanilla bean ice cream | fresh strawberries | a drizzle of strawberry purée | whipped cream (cal. 630).
Ice Cream - 1 Scoop,$1.95,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Ice Cream - 2 Scoops,$2.95,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Sunset Peach Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Berry Hibiscus Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Cucumber Mint Sparkling Water,$1.50,Beverages, 
Raspberry Sparkling Water,$1.50,Beverages, 
Peachberry Iced Tea,$1.95,Beverages, 
Iced Tea,$1.95,Beverages, 
Mandarin Orange Green Tea,$1.95,Beverages, 
Sparkling Raspberry Lemonade,$1.95,Beverages, 
Strawberry Lemonade,$1.95,Beverages, 
Lemonade,$1.95,Beverages, 
BJ's Handcrafted Draft Sodas,$1.95,Beverages, 
BJ's Handcrafted Floats,$3.95,Beverages, 
Soda,$1.95,Beverages, 
Hot Tea,$1.95,Beverages, 
San Pellegrino Sparkling Water,$3.25,Beverages, 
Cold Brew Coffee,$3.25,Beverages,Cal. 0.
Cappuccino,$3.50,Beverages,Hot (cal. 100).
Salted Caramel Cold Brew Coffee,$3.50,Beverages,Cal. 160.
Café Latte,$3.50,Beverages,Hot (cal. 100).
Coffee,$1.95,Beverages, 
Decaf Coffee,$1.95,Beverages, 
Disclaimer,$0.00,Disclaimer, 
